 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Jun/2010
"Município";"AIH_aprovadas"
"240380 FLORANIA";65
"240400 FRUTUOSO GOMES";21
"240420 GOIANINHA";11
"240430 GOVERNADOR DIX-SEPT ROSADO";6
"240440 GROSSOS";5
"240450 GUAMARE";14
"240490 ITAU";20
"240500 JACANA";13
"240560 JARDIM DE PIRANHAS";39
"240570 JARDIM DO SERIDO";24
"240580 JOAO CAMARA";172
"240600 JOSE DA PENHA";9
"240610 JUCURUTU";75
"240620 LAGOA D'ANTA";12
"240650 LAGOA NOVA";50
"240670 LAJES";70
"240690 LUCRECIA";13
"240700 LUIS GOMES";8
"240710 MACAIBA";118
"240720 MACAU";100
"240725 MAJOR SALES";5
"240730 MARCELINO VIEIRA";21
"240740 MARTINS";45
"240790 MONTE DAS GAMELEIRAS";3
"240800 MOSSORO";1506
"240810 NATAL";6354
"240830 NOVA CRUZ";94
"240840 OLHO-D'AGUA DO BORGES";19
"240850 OURO BRANCO";4
"240860 PARANA";4
"240890 PARELHAS";63
"240910 PASSA E FICA";50
"240930 PATU";32
"240940 PAU DOS FERROS";433
"240980 PEDRO VELHO";7
"240990 PENDENCIAS";15
"241010 POCO BRANCO";15
"241020 PORTALEGRE";20
"241030 SERRA CAIADA";18
"241050 RAFAEL FERNANDES";10
"241060 RAFAEL GODEIRO";5
"241070 RIACHO DA CRUZ";6
"241100 RODOLFO FERNANDES";10
"241110 RUY BARBOSA";7
"241120 SANTA CRUZ";380
"241140 SANTANA DO MATOS";48
"241142 SANTANA DO SERIDO";5
"241150 SANTO ANTONIO";182
"241200 SAO GONCALO DO AMARANTE";329
"241220 SAO JOSE DE MIPIBU";148
"241230 SAO JOSE DO CAMPESTRE";43
"241240 SAO JOSE DO SERIDO";2
"241250 SAO MIGUEL";125
"241260 SAO PAULO DO POTENGI";94
"241290 SAO TOME";16
"241300 SAO VICENTE";9
"241330 SERRA DE SAO BENTO";8
"241335 SERRA DO MEL";19
"241340 SERRA NEGRA DO NORTE";12
"241355 SERRINHA DOS PINTOS";12
"241360 SEVERIANO MELO";38
"241370 SITIO NOVO";7
"241380 TABOLEIRO GRANDE";7
"241400 TANGARA";12
"241410 TENENTE ANANIAS";33
"241440 TOUROS";38
"241445 TRIUNFO POTIGUAR";8
"241450 UMARIZAL";42
"241460 UPANEMA";22
"250010 AGUA BRANCA";27
"250030 ALAGOA GRANDE";125
"250040 ALAGOA NOVA";57
"250070 SAO JOAO DO RIO DO PEIXE";64
"250090 ARARA";17
"250100 ARARUNA";143
"250110 AREIA";62
"250150 BANANEIRAS";82
"250157 BARRA DE SANTANA";25
"250180 BAYEUX";82
"250190 BELEM";103
"250230 BOM SUCESSO";29
"250240 BONITO DE SANTA FE";51
"250250 BOQUEIRAO";24
"250280 BREJO DO CRUZ";54
"250290 BREJO DOS SANTOS";52
"250300 CAAPORA";55
"250320 CABEDELO";94
"250350 CACIMBA DE DENTRO";22
"250370 CAJAZEIRAS";530
"250400 CAMPINA GRANDE";4772
"250430 CATOLE DO ROCHA";231
"250440 CONCEICAO";84
"250480 COREMAS";40
"250500 CUBATI";21
"250510 CUITE";76
"250600 ESPERANCA";187
"250620 FREI MARTINHO";8
"250630 GUARABIRA";586
"250640 GURINHEM";36
"250680 INGA";110
"250690 ITABAIANA";152
"250700 ITAPORANGA";132
"250730 JACARAU";31
"250740 JERICO";16
"250750 JOAO PESSOA";7627
"250770 JUAZEIRINHO";63
"250800 JURU";53
"250820 LAGOA DE DENTRO";31
"250830 LAGOA SECA";14
"250840 LASTRO";31
"250890 MAMANGUAPE";74
"250910 MARI";49
"250920 MASSARANDUBA";51
"250970 MONTEIRO";355
"250990 NATUBA";2
"251010 NOVA FLORESTA";27
"251080 PATOS";943
"251110 PEDRA LAVRADA";38
"251120 PEDRAS DE FOGO";66
"251130 PIANCO";176
"251140 PICUI";85
"251150 PILAR";7
"251200 POCINHOS";19
"251210 POMBAL";145
"251230 PRINCESA ISABEL";237
"251280 RIACHO DOS CAVALOS";28
"251290 RIO TINTO";118
"251330 SANTA HELENA";10
"251340 SANTA LUZIA";114
"251370 SANTA RITA";659
"251390 SAO BENTO";118
"251400 SAO JOAO DO CARIRI";68
"251430 SAO JOSE DE CAIANA";36
"251450 SAO JOSE DE PIRANHAS";65
"251490 SAO MAMEDE";13
"251530 SAPE";176
"251540 SAO VICENTE DO SERIDO";36
"251550 SERRA BRANCA";72
"251600 SOLANEA";175
"251610 SOLEDADE";2
"251620 SOUSA";1
"251630 SUME";107
"251650 TAPEROA";15
"251660 TAVARES";15
"251670 TEIXEIRA";19
"251690 UIRAUNA";156
"260005 ABREU E LIMA";86
"260010 AFOGADOS DA INGAZEIRA";720
"260020 AFRANIO";55
"260030 AGRESTINA";116
"260040 AGUA PRETA";20
