 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Mar/2018
"Município";"AIH_aprovadas"
"230160 ASSARE";52
"230170 AURORA";112
"230180 BAIXIO";14
"230185 BANABUIU";19
"230190 BARBALHA";1271
"230195 BARREIRA";10
"230200 BARRO";27
"230210 BATURITE";207
"230220 BEBERIBE";38
"230230 BELA CRUZ";33
"230240 BOA VIAGEM";123
"230250 BREJO SANTO";820
"230260 CAMOCIM";371
"230270 CAMPOS SALES";83
"230280 CANINDE";585
"230290 CAPISTRANO";6
"230300 CARIDADE";4
"230310 CARIRE";36
"230320 CARIRIACU";26
"230330 CARIUS";19
"230340 CARNAUBAL";37
"230350 CASCAVEL";154
"230360 CATARINA";31
"230365 CATUNDA";1
"230370 CAUCAIA";557
"230380 CEDRO";118
"230390 CHAVAL";8
"230393 CHORO";17
"230395 CHOROZINHO";5
"230400 COREAU";8
"230410 CRATEUS";903
"230420 CRATO";904
"230423 CROATA";39
"230425 CRUZ";49
"230426 DEPUTADO IRAPUAN PINHEIRO";12
"230427 ERERE";1
"230428 EUSEBIO";311
"230430 FARIAS BRITO";51
"230440 FORTALEZA";17913
"230445 FORTIM";6
"230450 FRECHEIRINHA";25
"230460 GENERAL SAMPAIO";13
"230470 GRANJA";94
"230480 GRANJEIRO";3
"230490 GROAIRAS";11
"230495 GUAIUBA";2
"230500 GUARACIABA DO NORTE";118
"230510 GUARAMIRANGA";3
"230520 HIDROLANDIA";14
"230523 HORIZONTE";125
"230526 IBARETAMA";7
"230530 IBIAPINA";61
"230540 ICO";258
"230550 IGUATU";730
"230560 INDEPENDENCIA";15
"230565 IPAPORANGA";48
"230570 IPAUMIRIM";10
"230580 IPU";117
"230590 IPUEIRAS";121
"230600 IRACEMA";28
"230610 IRAUCUBA";6
"230620 ITAICABA";4
"230625 ITAITINGA";39
"230630 ITAPAGE";98
"230640 ITAPIPOCA";971
"230650 ITAPIUNA";17
"230655 ITAREMA";66
"230670 JAGUARETAMA";44
"230680 JAGUARIBARA";18
"230690 JAGUARIBE";128
"230700 JAGUARUANA";40
"230710 JARDIM";11
"230720 JATI";8
"230730 JUAZEIRO DO NORTE";1273
"230740 JUCAS";61
"230750 LAVRAS DA MANGABEIRA";171
"230760 LIMOEIRO DO NORTE";738
"230763 MADALENA";4
"230765 MARACANAU";1463
"230770 MARANGUAPE";241
"230780 MARCO";9
"230790 MARTINOPOLE";6
"230800 MASSAPE";8
"230810 MAURITI";139
"230820 MERUOCA";6
"230830 MILAGRES";63
"230835 MILHA";11
"230840 MISSAO VELHA";143
"230850 MOMBACA";157
"230860 MONSENHOR TABOSA";61
"230870 MORADA NOVA";172
"230880 MORAUJO";5
"230890 MORRINHOS";34
"230900 MUCAMBO";69
"230910 MULUNGU";2
"230920 NOVA OLINDA";22
"230930 NOVA RUSSAS";101
"230940 NOVO ORIENTE";113
"230945 OCARA";43
"230950 OROS";75
"230960 PACAJUS";48
"230970 PACATUBA";33
"230980 PACOTI";15
"231010 PALMACIA";5
"231020 PARACURU";77
"231025 PARAIPABA";21
"231030 PARAMBU";130
"231050 PEDRA BRANCA";141
"231070 PENTECOSTE";60
"231080 PEREIRO";30
"231085 PINDORETAMA";11
"231090 PIQUET CARNEIRO";31
"231100 PORANGA";13
"231110 PORTEIRAS";12
"231120 POTENGI";19
"231130 QUIXADA";549
"231135 QUIXELO";43
"231140 QUIXERAMOBIM";586
"231150 QUIXERE";23
"231160 REDENCAO";162
"231170 RERIUTABA";28
"231180 RUSSAS";655
"231190 SABOEIRO";4
"231195 SALITRE";22
"231200 SANTANA DO ACARAU";29
"231210 SANTANA DO CARIRI";24
"231220 SANTA QUITERIA";81
"231230 SAO BENEDITO";236
"231240 SAO GONCALO DO AMARANTE";49
"231260 SAO LUIS DO CURU";4
"231270 SENADOR POMPEU";34
"231290 SOBRAL";2954
"231300 SOLONOPOLE";25
"231310 TABULEIRO DO NORTE";47
"231320 TAMBORIL";19
"231325 TARRAFAS";8
"231330 TAUA";788
"231335 TEJUCUOCA";9
"231340 TIANGUA";564
"231350 TRAIRI";19
"231355 TURURU";10
"231360 UBAJARA";63
"231370 UMARI";14
"231375 UMIRIM";8
"231380 URUBURETAMA";7
"231390 URUOCA";9
"231395 VARJOTA";30
"231400 VARZEA ALEGRE";251
